ASAP_A	ASAP_B	ASAP_C
1.226772616	1.292785506	1.169895319
1.267726161	1.244904562	1.220551077
1.184596577	1.220964089	1.176633377
1.231051345	1.199611776	1.188785946
1.166564792	1.234551925	1.185777885
1.256418093	1.274344872	1.14450728
1.214242054	1.237787124	1.113825051
1.291564792	1.258815917	1.160991457
1.240220049	1.227110967	1.245217182
1.153728606	1.158848269	1.181205631
1.155562347	1.181818182	1.234027193
1.189486553	1.221611129	1.146312116
1.312652812	1.356842446	1.122006979
1.227689487	1.262698156	1.135122127
1.290647922	1.321255257	1.226326555
1.175427873	1.179230023	1.215377211
1.18306846	1.173083145	1.185416917
1.186430318	1.245228082	1.178678859
1.255806846	1.295050146	1.151967272
1.263141809	1.299902944	1.239922994
1.246026895	1.274344872	1.256647816
1.250305623	1.288903268	1.134400193
1.223716381	1.226463928	1.178197569
1.256418093	1.284697509	1.143304055
1.302261614	1.331607894	1.24509686
1.175122249	1.208670333	1.289736494
1.213325183	1.242963442	1.156298881
1.183679707	1.213846652	1.169173385
1.289731051	1.299255904	1.187703044
1.368581907	1.398252993	1.193959812
1.168398533	1.1869945	1.279870052
1.187958435	1.222581689	1.258572976
1.210268949	1.232287286	1.215497533
1.207212714	1.237787124	1.194681747
1.393643032	1.399223552	1.232703646
1.312347188	1.37495956	1.278666827
1.280867971	1.304108703	1.239922994
1.221271394	1.264315755	1.207315606
1.253361858	1.284697509	1.116472145
1.339853301	1.368489162	1.204427867
1.28698044	1.283726949	1.196486584
1.246943765	1.274344872	1.247503309
1.135085575	1.180524102	1.226326555
1.268948655	1.265609835	1.155937914
1.22891198	1.292785506	1.277944892
1.376833741	1.378518279	1.221994946
1.27292176	1.321902297	1.297798099
1.204156479	1.247816241	1.256046204
1.358801956	1.351989647	1.215497533
1.22707824	1.274021352	1.286367465
1.355745721	1.363636364	1.245578149
1.353606357	1.321255257	1.333052581
1.253361858	1.274991912	1.316688726
1.328545232	1.381753478	1.313440019
1.302567237	1.323843416	1.138130189
1.455378973	1.489809123	1.200577548
1.357885086	1.389517955	1.253760077
1.39608802	1.428987383	1.26170136
1.166564792	1.191200259	1.35206353
1.2200489	1.255904238	1.253038142
1.349633252	1.387900356	1.258452653
1.289119804	1.353283727	1.300204548
1.403728606	1.449045616	1.251233305
1.320904645	1.321902297	1.266754903
1.301344743	1.334519573	1.20069787
1.381112469	1.428663863	1.233545903
1.276894866	1.319961178	1.293346168
1.319682152	1.387253316	1.263626519
1.290953545	1.260433517	1.336662255
1.288814181	1.3138143	1.188184334
1.344743276	1.385635717	1.275658765
1.306845966	1.34390165	1.248947178
1.450488998	1.445486897	1.269161352
1.240220049	1.292785506	1.29250391
1.378361858	1.358783565	1.268319095
1.296149144	1.321255257	1.237757189
1.31601467	1.360077645	1.324148719
1.314486553	1.368489162	1.282757791
1.377444988	1.349725008	1.319576465
1.33190709	1.362665804	1.264348454
1.364914425	1.425752184	1.24365299
1.339547677	1.376900679	1.203705932
1.35207824	1.418958266	1.321621947
1.292787286	1.37366548	1.25051137
1.295232274	1.285668069	1.272771026
1.287897311	1.295050146	1.319215498
1.386308068	1.433193141	1.295752617
1.336797066	1.323843416	1.313199374
1.305012225	1.350372048	1.242570088
1.440709046	1.446457457	1.205751414
1.371332518	1.4373989	1.289856816
1.360635697	1.3756066	1.292864878
1.26497555	1.328049175	1.346889664
1.246638142	1.262374636	1.325953556
1.387530562	1.408605629	1.284562628
1.378056235	1.390812035	1.27589941
1.424205379	1.476544808	1.253519432
1.407396088	1.46942737	1.256166526
1.363691932	1.40472339	1.315004211
1.329767726	1.330313814	1.30128745
1.316625917	1.339048852	1.35254482
1.308679707	1.360401165	1.284803273
1.398227384	1.408605629	1.360606425
1.405256724	1.384341637	1.337865479
1.431845966	1.400517632	1.280591987
1.34596577	1.381753478	1.348574179
1.442542787	1.470721449	1.31007099
1.392726161	1.392106115	1.329563229
1.33893643	1.413781948	1.363614487
1.403728606	1.422840505	1.355793527
1.451711491	1.454868974	1.295271327
1.385391198	1.385959236	1.330646132
1.441625917	1.486897444	1.341595476
1.41992665	1.461662892	1.292864878
1.338630807	1.37495956	1.338226447
1.412897311	1.448398577	1.391408976
1.382334963	1.4373989	1.379015762
1.342603912	1.360077645	1.358320298
1.410146699	1.430604982	1.202863675
1.468520782	1.461986412	1.360606425
1.457823961	1.523778712	1.309228733
1.400977995	1.441604659	1.398387679
1.26405868	1.336137172	1.373962219
1.440403423	1.495632481	1.280591987
1.417176039	1.429310903	1.390807364
1.462102689	1.49983824	1.355191914
1.505806846	1.474280168	1.315365179
1.374388753	1.351989647	1.465166647
1.490220049	1.554189583	1.313560342
1.39792176	1.411193788	1.383828661
1.423899755	1.382076998	1.36084707
1.552872861	1.62504044	1.337504512
1.320293399	1.399547072	1.386355433
1.488691932	1.503720479	1.321260979
1.471577017	1.472662569	1.416676694
1.397310513	1.465545131	1.453014078
1.449572127	1.535748949	1.328360005
1.400977995	1.422516985	1.412946697
1.527506112	1.523778712	1.343159668
1.513141809	1.555807182	1.474551799
1.376833741	1.420899385	1.357478041
1.467298289	1.559365901	1.295511972
1.458435208	1.482044646	1.357839009
1.571821516	1.587512132	1.376368668
1.414425428	1.448398577	1.36084707
1.332823961	1.393723714	1.464805679
1.428789731	1.485279845	1.326555168
1.422677262	1.485279845	1.398508001
1.45507335	1.453574895	1.353627722
1.575794621	1.573924296	1.425339911
1.321515892	1.377547719	1.484899531
1.468520782	1.50016176	1.390687041
1.449266504	1.513102556	1.336662255
1.468215159	1.501779359	1.401756708
1.527811736	1.580394694	1.355793527
1.47707824	1.440634099	1.433401516
1.365831296	1.422516985	1.358320298
1.467603912	1.553219023	1.456744074
1.397310513	1.443222258	1.449404404
1.463325183	1.507279198	1.442305378
1.428484108	1.418958266	1.289255204
1.527811736	1.565512779	1.372638672
1.553789731	1.585247493	1.423414752
1.528728606	1.56292462	1.431476357
1.350550122	1.394694274	1.401756708
1.424816626	1.458751213	1.405727349
1.491136919	1.487220964	1.439898929
1.523838631	1.575218376	1.359042233
1.488080685	1.517631834	1.440620864
1.50794621	1.517955354	1.449645049
1.539119804	1.545131026	1.352905788
1.440709046	1.507926237	1.402598965
1.511613692	1.548042705	1.437612802
1.542481663	1.59527661	1.428468295
1.453545232	1.487868004	1.491396944
1.486246944	1.49983824	1.369991577
1.549205379	1.521190553	1.431476357
1.470660147	1.511161436	1.489712429
1.567542787	1.578777095	1.430874744
1.482579462	1.511161436	1.47070148
1.476772616	1.527984471	1.420286367
1.586185819	1.588159172	1.430393454
1.510085575	1.53121967	1.425941523
1.515586797	1.600452928	1.464204067
1.517420538	1.515690715	1.459270846
1.531479218	1.589129731	1.495848875
1.481356968	1.522484633	1.458789556
1.493581907	1.579747654	1.407772831
1.537591687	1.591717891	1.432559259
1.582212714	1.650598512	1.505234027
1.526589242	1.549983824	1.497533389
1.432762836	1.483662245	1.506798219
1.473105134	1.490779683	1.59571652
1.614914425	1.704626335	1.506557574
1.590464548	1.598511808	1.434003128
1.599327628	1.666127467	1.451088918
1.709046455	1.767065675	1.490915654
