sgRNA_TF	WMW_pValue	sgRNA	TF	WMW_qValue	WMW_logFDR	diff_med	Diff	sign_WMW_logFDR
sgCD4_sgGuide1__AC0021266_638	0.171735363190208	sgCD4_sgGuide1	AC0021266_638	0.317320343968404	0.49850208361976	0.0661750143608121	non_significant	0.49850208361976
sgCD4_sgGuide1__AC0125311_531	0.0903019540356688	sgCD4_sgGuide1	AC0125311_531	0.217625207786792	0.662290801213548	-0.039137952860581	non_significant	-0.662290801213548
sgCD4_sgGuide1__AC2261502_577	0.377212748659699	sgCD4_sgGuide1	AC2261502_577	0.447887348906433	0.348831204529462	0.0654462691212854	non_significant	0.348831204529462
sgCD4_sgGuide1__AHR_28	0.462614856009507	sgCD4_sgGuide1	AHR_28	0.483743899913787	0.315384498459823	0.032496365557383	non_significant	0.315384498459823
sgCD4_sgGuide1__AHRR_17	0.462614856009507	sgCD4_sgGuide1	AHRR_17	0.483743899913787	0.315384498459823	0.032496365557383	non_significant	0.315384498459823
sgCD4_sgGuide1__AIRE_736	0.200768162900405	sgCD4_sgGuide1	AIRE_736	0.341522813679898	0.466580280198078	-0.0609533455144424	non_significant	-0.466580280198078
sgCD4_sgGuide1__AL5921702_588	0.0117129636438988	sgCD4_sgGuide1	AL5921702_588	0.0625066785046973	1.20407357813138	0.119301016469887	non_significant	1.20407357813138
sgCD4_sgGuide1__AL6628245_700	0.271817046774988	sgCD4_sgGuide1	AL6628245_700	0.39479270566651	0.403630880110935	-0.00172177819737102	non_significant	-0.403630880110935
sgCD4_sgGuide1__AL6628286_154	0.31975903308063	sgCD4_sgGuide1	AL6628286_154	0.418108897721087	0.378710590186844	0.061004558396619	non_significant	0.378710590186844
sgCD4_sgGuide1__AL6628305_600	0.313960048423557	sgCD4_sgGuide1	AL6628305_600	0.416286136594278	0.380608052002626	0.0428618931741891	non_significant	0.380608052002626
sgCD4_sgGuide1__AL6628334_838	0.193805635839939	sgCD4_sgGuide1	AL6628334_838	0.33925735046428	0.469470733995437	-0.100608517037713	non_significant	-0.469470733995437
sgCD4_sgGuide1__AL66283413_287	0.426089265077442	sgCD4_sgGuide1	AL66283413_287	0.468052601789615	0.329705336277953	0.00072654372367198	non_significant	0.329705336277953
sgCD4_sgGuide1__AL7735441_836	0.193805635839939	sgCD4_sgGuide1	AL7735441_836	0.33925735046428	0.469470733995437	-0.100608517037713	non_significant	-0.469470733995437
sgCD4_sgGuide1__AL8445277_699	0.271817046774988	sgCD4_sgGuide1	AL8445277_699	0.39479270566651	0.403630880110935	-0.00172177819737102	non_significant	-0.403630880110935
sgCD4_sgGuide1__AL8448538_281	0.426089265077442	sgCD4_sgGuide1	AL8448538_281	0.468052601789615	0.329705336277953	0.00072654372367198	non_significant	0.329705336277953
sgCD4_sgGuide1__AL8454643_566	0.313960048423557	sgCD4_sgGuide1	AL8454643_566	0.416286136594278	0.380608052002626	0.0428618931741891	non_significant	0.380608052002626
sgCD4_sgGuide1__ALX1_545	0.125338902229222	sgCD4_sgGuide1	ALX1_545	0.266613312810325	0.574118168741695	-0.0738027221789614	non_significant	-0.574118168741695
sgCD4_sgGuide1__ALX3_493	0.039741189070212	sgCD4_sgGuide1	ALX3_493	0.129980580793551	0.886121526802163	-0.0850177979723863	non_significant	-0.886121526802163
sgCD4_sgGuide1__ALX4_401	0.489455655555509	sgCD4_sgGuide1	ALX4_401	0.495775694453285	0.304714768458805	0.0124595828427171	non_significant	0.304714768458805
sgCD4_sgGuide1__AR_689	0.354309927918713	sgCD4_sgGuide1	AR_689	0.44080371847799	0.35575475057265	0.0153790953922637	non_significant	0.35575475057265
sgCD4_sgGuide1__ARID2_11	0.0231508173361711	sgCD4_sgGuide1	ARID2_11	0.093632179714657	1.02857486631885	-0.131517431542545	non_significant	-1.02857486631885
sgCD4_sgGuide1__ARID3A_6	0.00319854759213841	sgCD4_sgGuide1	ARID3A_6	0.0361394338332522	1.44201865545579	-0.101318400004598	non_significant	-1.44201865545579
sgCD4_sgGuide1__ARID3B_8	0.00413778778401537	sgCD4_sgGuide1	ARID3B_8	0.0407051956107903	1.39035015389308	-0.146723880740571	non_significant	-1.39035015389308
sgCD4_sgGuide1__ARID3C_10	0.00857833957750132	sgCD4_sgGuide1	ARID3C_10	0.0616789705159186	1.20986288370851	-0.133860808307793	non_significant	-1.20986288370851
sgCD4_sgGuide1__ARID5A_9	0.00995401287103206	sgCD4_sgGuide1	ARID5A_9	0.0625066785046973	1.20407357813138	-0.121702772758174	non_significant	-1.20407357813138
sgCD4_sgGuide1__ARID5B_7	0.175101824749875	sgCD4_sgGuide1	ARID5B_7	0.319827839444788	0.495083735739799	-0.035413877166568	non_significant	-0.495083735739799
sgCD4_sgGuide1__ARNT2_76	0.157428536721683	sgCD4_sgGuide1	ARNT2_76	0.299045473685293	0.524262766628825	-0.00226290790383998	non_significant	-0.524262766628825
sgCD4_sgGuide1__ARNT_57	0.00160117133401873	sgCD4_sgGuide1	ARNT_57	0.0230942855157761	1.63649546928475	-0.148717799439228	non_significant	-1.63649546928475
sgCD4_sgGuide1__ARNTL2_16	0.00216204905292776	sgCD4_sgGuide1	ARNTL2_16	0.02893819501611	1.53852856094988	-0.145383180116004	non_significant	-1.53852856094988
sgCD4_sgGuide1__ARNTL_50	0.129437180668705	sgCD4_sgGuide1	ARNTL_50	0.271272973465492	0.566593472215094	-0.056533307495248	non_significant	-0.566593472215094
sgCD4_sgGuide1__ARX_394	0.293394604556379	sgCD4_sgGuide1	ARX_394	0.408405289542479	0.388908641697189	0.0674427103899127	non_significant	0.388908641697189
sgCD4_sgGuide1__ASCL1_843	0.357748723184302	sgCD4_sgGuide1	ASCL1_843	0.44080371847799	0.35575475057265	0.0667014175568985	non_significant	0.35575475057265
sgCD4_sgGuide1__ASCL2_89	0.0377185845228601	sgCD4_sgGuide1	ASCL2_89	0.127149482569288	0.895685402832043	-0.106296668961432	non_significant	-0.895685402832043
sgCD4_sgGuide1__ATF1_118	0.0125266726881688	sgCD4_sgGuide1	ATF1_118	0.0652587140042326	1.18536148872112	0.174588259460727	non_significant	1.18536148872112
