sgRNA_TF	WMW_pValue	sgRNA	TF	WMW_qValue	WMW_logFDR	diff_med	Diff	sign_WMW_logFDR
sgCD4_sgGuide1__ATF2_114	0.217938677121536	sgCD4_sgGuide1	ATF2_114	0.356403475743864	0.448058069256318	0.062776750947762	non_significant	0.448058069256318
sgCD4_sgGuide1__ATF3_132	0.0295870359005333	sgCD4_sgGuide1	ATF3_132	0.110084552972059	0.958273616810683	-0.097536034235311	non_significant	-0.958273616810683
sgCD4_sgGuide1__ATF4_122	0.0820789396312434	sgCD4_sgGuide1	ATF4_122	0.206981673852701	0.684068105253124	0.0696170392049874	non_significant	0.684068105253124
sgCD4_sgGuide1__ATF5_136	0.376511863723494	sgCD4_sgGuide1	ATF5_136	0.447887348906433	0.348831204529462	-0.0024010325208538	non_significant	-0.348831204529462
sgCD4_sgGuide1__ATF6_116	0.370468468760384	sgCD4_sgGuide1	ATF6_116	0.446975361653221	0.349716415554768	-0.016809614541213	non_significant	-0.349716415554768
sgCD4_sgGuide1__ATF6B_151	0.31975903308063	sgCD4_sgGuide1	ATF6B_151	0.418108897721087	0.378710590186844	0.061004558396619	non_significant	0.378710590186844
sgCD4_sgGuide1__ATF7_138	0.168820439187599	sgCD4_sgGuide1	ATF7_138	0.314504886709232	0.50237260219211	0.076759964995869	non_significant	0.50237260219211
sgCD4_sgGuide1__ATOH1_844	0.151569503037512	sgCD4_sgGuide1	ATOH1_844	0.292384628919369	0.534045462599841	0.080506810106746	non_significant	0.534045462599841
sgCD4_sgGuide1__ATOH7_84	0.240666468735701	sgCD4_sgGuide1	ATOH7_84	0.378586761063418	0.421834577106593	-0.0780818284424388	non_significant	-0.421834577106593
sgCD4_sgGuide1__ATOH8_71	0.117458978807997	sgCD4_sgGuide1	ATOH8_71	0.256757064228537	0.590477598701406	-0.073438145901398	non_significant	-0.590477598701406
sgCD4_sgGuide1__BACH1_130	0.0498698821339555	sgCD4_sgGuide1	BACH1_130	0.153853891689863	0.812891513923792	-0.0869375950219999	non_significant	-0.812891513923792
sgCD4_sgGuide1__BACH2_113	0.131046778525779	sgCD4_sgGuide1	BACH2_113	0.273406948003423	0.563190453041036	-0.0156600496514501	non_significant	-0.563190453041036
sgCD4_sgGuide1__BARHL1_456	0.0233717749235375	sgCD4_sgGuide1	BARHL1_456	0.093632179714657	1.02857486631885	-0.061108993391551	non_significant	-1.02857486631885
sgCD4_sgGuide1__BARHL2_484	0.0229257212904253	sgCD4_sgGuide1	BARHL2_484	0.0932026987040656	1.03057151237439	-0.108738985237999	non_significant	-1.03057151237439
sgCD4_sgGuide1__BARX1_468	0.077552681597374	sgCD4_sgGuide1	BARX1_468	0.199029005869367	0.701083626248415	-0.154617569455757	non_significant	-0.701083626248415
sgCD4_sgGuide1__BARX2_400	0.0121927449490845	sgCD4_sgGuide1	BARX2_400	0.0639017355765271	1.19448734620666	-0.12135812547462	non_significant	-1.19448734620666
sgCD4_sgGuide1__BATF_129	1.26222814303145e-06	sgCD4_sgGuide1	BATF_129	0.000366046161479119	3.43646414298943	0.40909138303503	significant	3.43646414298943
sgCD4_sgGuide1__BATF3_120	0.0439295808635422	sgCD4_sgGuide1	BATF3_120	0.139995367587112	0.853886334783477	0.098148529607138	non_significant	0.853886334783477
sgCD4_sgGuide1__BBX_753	0.199551898291411	sgCD4_sgGuide1	BBX_753	0.341522813679898	0.466580280198078	-0.00861827405594909	non_significant	-0.466580280198078
sgCD4_sgGuide1__BCL11A_194	0.397915005837148	sgCD4_sgGuide1	BCL11A_194	0.457650125314151	0.339466414383007	-0.012672099732066	non_significant	-0.339466414383007
sgCD4_sgGuide1__BCL11B_825	0.397915005837148	sgCD4_sgGuide1	BCL11B_825	0.457650125314151	0.339466414383007	-0.012672099732066	non_significant	-0.339466414383007
sgCD4_sgGuide1__BCL6_187	0.458434552575074	sgCD4_sgGuide1	BCL6_187	0.482379310288538	0.31661132777548	-0.0652310085192495	non_significant	-0.31661132777548
sgCD4_sgGuide1__BCL6B_218	0.120110854154895	sgCD4_sgGuide1	BCL6B_218	0.26058963370264	0.584042864583855	-0.0568483772254117	non_significant	-0.584042864583855
sgCD4_sgGuide1__BHLHA15_85	0.459942403925255	sgCD4_sgGuide1	BHLHA15_85	0.482379310288538	0.31661132777548	0.0055726977090268	non_significant	0.31661132777548
sgCD4_sgGuide1__BHLHE22_86	0.294067475359223	sgCD4_sgGuide1	BHLHE22_86	0.408688024860262	0.388608087547281	0.017134130973168	non_significant	0.388608087547281
sgCD4_sgGuide1__BHLHE23_45	0.432227009427549	sgCD4_sgGuide1	BHLHE23_45	0.47038739025652	0.327544328971487	0.0108508485850488	non_significant	0.327544328971487
sgCD4_sgGuide1__BHLHE40_51	0.00041328015662384	sgCD4_sgGuide1	BHLHE40_51	0.00907008778235817	2.04238850971948	-0.136321085319615	non_significant	-2.04238850971948
sgCD4_sgGuide1__BHLHE41_44	7.11495543556224e-05	sgCD4_sgGuide1	BHLHE41_44	0.00562728293539923	2.24970124830905	-0.21868334008484	non_significant	-2.24970124830905
sgCD4_sgGuide1__BPTF_812	0.000982859137250135	sgCD4_sgGuide1	BPTF_812	0.0171017489881523	1.76695947223583	-0.187004208015632	non_significant	-1.76695947223583
sgCD4_sgGuide1__BRCA1_319	0.143240077970652	sgCD4_sgGuide1	BRCA1_319	0.285887438860876	0.543804925975521	0.0350202737063326	non_significant	0.543804925975521
sgCD4_sgGuide1__BSX_559	0.00664645438602508	sgCD4_sgGuide1	BSX_559	0.0511718169543524	1.29096916228839	-0.134155686737213	non_significant	-1.29096916228839
sgCD4_sgGuide1__BX0885802_840	0.193805635839939	sgCD4_sgGuide1	BX0885802_840	0.33925735046428	0.469470733995437	-0.100608517037713	non_significant	-0.469470733995437
sgCD4_sgGuide1__BX2846861_573	0.313960048423557	sgCD4_sgGuide1	BX2846861_573	0.416286136594278	0.380608052002626	0.0428618931741891	non_significant	0.380608052002626
sgCD4_sgGuide1__BX9272396_589	0.313960048423557	sgCD4_sgGuide1	BX9272396_589	0.416286136594278	0.380608052002626	0.0428618931741891	non_significant	0.380608052002626
sgCD4_sgGuide1__C11orf9_654	0.0350944089994161	sgCD4_sgGuide1	C11orf9_654	0.124302699822854	0.905519438490823	0.0715767979997825	non_significant	0.905519438490823
sgCD4_sgGuide1__C13orf38SOHLH2_823	0.220440527896664	sgCD4_sgGuide1	C13orf38SOHLH2_823	0.357138285419176	0.44716359070603	-0.030874428578236	non_significant	-0.44716359070603
sgCD4_sgGuide1__CBFB_801	0.0417832175008229	sgCD4_sgGuide1	CBFB_801	0.134634811947096	0.870842631926462	-0.321173467935807	non_significant	-0.870842631926462
sgCD4_sgGuide1__CDC5L_646	0.0222154684068475	sgCD4_sgGuide1	CDC5L_646	0.0918839406204834	1.03676038751889	-0.160078266059824	non_significant	-1.03676038751889
sgCD4_sgGuide1__CDX1_435	0.294591311936025	sgCD4_sgGuide1	CDX1_435	0.408763064408839	0.388528353695578	-0.00326881715394099	non_significant	-0.388528353695578
sgCD4_sgGuide1__CDX2_514	0.219123405729969	sgCD4_sgGuide1	CDX2_514	0.356435829670435	0.448018646256827	-0.0262959333327269	non_significant	-0.448018646256827
sgCD4_sgGuide1__CDX4_467	0.107447228149967	sgCD4_sgGuide1	CDX4_467	0.244070727129168	0.612484305009756	-0.103096593552607	non_significant	-0.612484305009756
sgCD4_sgGuide1__CEBPA_155	0.483222979693217	sgCD4_sgGuide1	CEBPA_155	0.493775193819217	0.306470731856572	-0.000566981058132909	non_significant	-0.306470731856572
sgCD4_sgGuide1__CEBPB_140	0.203705294014112	sgCD4_sgGuide1	CEBPB_140	0.341522813679898	0.466580280198078	-0.040609504136981	non_significant	-0.466580280198078
sgCD4_sgGuide1__CEBPD_152	0.343666089949437	sgCD4_sgGuide1	CEBPD_152	0.435210332250378	0.361300802680145	0.0450551349129159	non_significant	0.361300802680145
sgCD4_sgGuide1__CEBPE_107	0.482357619806081	sgCD4_sgGuide1	CEBPE_107	0.493775193819217	0.306470731856572	0.02610392941544	non_significant	0.306470731856572
sgCD4_sgGuide1__CEBPG_128	0.300683911205712	sgCD4_sgGuide1	CEBPG_128	0.412398930848587	0.384682469303072	0.035685755873414	non_significant	0.384682469303072
sgCD4_sgGuide1__CEBPZ_806	0.0516602755357004	sgCD4_sgGuide1	CEBPZ_806	0.157148390615592	0.803690062310076	0.104355599310791	non_significant	0.803690062310076
sgCD4_sgGuide1__CENPB_289	0.0186227955422845	sgCD4_sgGuide1	CENPB_289	0.0849559232732124	1.07080633598044	0.111203208798952	non_significant	1.07080633598044
sgCD4_sgGuide1__CGBP_298	0.443821211676835	sgCD4_sgGuide1	CGBP_298	0.474904353224117	0.323393849427147	0.016244560236862	non_significant	0.323393849427147
sgCD4_sgGuide1__CIC_749	0.0713511163787346	sgCD4_sgGuide1	CIC_749	0.18887489401273	0.723825766357481	0.068105183332473	non_significant	0.723825766357481
sgCD4_sgGuide1__CLOCK_53	0.325250581013014	sgCD4_sgGuide1	CLOCK_53	0.421083341490062	0.375631939396755	-0.0333053053099658	non_significant	-0.375631939396755
sgCD4_sgGuide1__CPEB1_815	0.133043145367501	sgCD4_sgGuide1	CPEB1_815	0.275589372546967	0.559737533982117	-0.044811337679999	non_significant	-0.559737533982117
sgCD4_sgGuide1__CR3545653_702	0.271817046774988	sgCD4_sgGuide1	CR3545653_702	0.39479270566651	0.403630880110935	-0.00172177819737102	non_significant	-0.403630880110935
sgCD4_sgGuide1__CR3882194_286	0.426089265077442	sgCD4_sgGuide1	CR3882194_286	0.468052601789615	0.329705336277953	0.00072654372367198	non_significant	0.329705336277953
sgCD4_sgGuide1__CR3882292_837	0.193805635839939	sgCD4_sgGuide1	CR3882292_837	0.33925735046428	0.469470733995437	-0.100608517037713	non_significant	-0.469470733995437
sgCD4_sgGuide1__CR7538031_135	0.31975903308063	sgCD4_sgGuide1	CR7538031_135	0.418108897721087	0.378710590186844	0.061004558396619	non_significant	0.378710590186844
sgCD4_sgGuide1__CR7597334_701	0.271817046774988	sgCD4_sgGuide1	CR7597334_701	0.39479270566651	0.403630880110935	-0.00172177819737102	non_significant	-0.403630880110935
sgCD4_sgGuide1__CR7597843_285	0.426089265077442	sgCD4_sgGuide1	CR7597843_285	0.468052601789615	0.329705336277953	0.00072654372367198	non_significant	0.329705336277953
sgCD4_sgGuide1__CR7598154_839	0.193805635839939	sgCD4_sgGuide1	CR7598154_839	0.33925735046428	0.469470733995437	-0.100608517037713	non_significant	-0.469470733995437
sgCD4_sgGuide1__CR8124782_575	0.313960048423557	sgCD4_sgGuide1	CR8124782_575	0.416286136594278	0.380608052002626	0.0428618931741891	non_significant	0.380608052002626
sgCD4_sgGuide1__CR8477943_864	0.193805635839939	sgCD4_sgGuide1	CR8477943_864	0.33925735046428	0.469470733995437	-0.100608517037713	non_significant	-0.469470733995437
sgCD4_sgGuide1__CR9257962_153	0.31975903308063	sgCD4_sgGuide1	CR9257962_153	0.418108897721087	0.378710590186844	0.061004558396619	non_significant	0.378710590186844
sgCD4_sgGuide1__CR9338788_599	0.313960048423557	sgCD4_sgGuide1	CR9338788_599	0.416286136594278	0.380608052002626	0.0428618931741891	non_significant	0.380608052002626
sgCD4_sgGuide1__CR9368773_703	0.271817046774988	sgCD4_sgGuide1	CR9368773_703	0.39479270566651	0.403630880110935	-0.00172177819737102	non_significant	-0.403630880110935
sgCD4_sgGuide1__CREB1_117	0.464641878773196	sgCD4_sgGuide1	CREB1_117	0.48528023353263	0.314007398036733	-0.00267501267301101	non_significant	-0.314007398036733
sgCD4_sgGuide1__CREB3_111	0.0241129492484757	sgCD4_sgGuide1	CREB3_111	0.094496693000783	1.02458338976208	0.135958752131994	non_significant	1.02458338976208
sgCD4_sgGuide1__CREB3L1_131	0.233227172923691	sgCD4_sgGuide1	CREB3L1_131	0.371625715098189	0.429894242098076	0.000513765339625008	non_significant	0.429894242098076
sgCD4_sgGuide1__CREB3L2_145	0.246278278201469	sgCD4_sgGuide1	CREB3L2_145	0.383295352478137	0.416466446608774	-0.04098920574551	non_significant	-0.416466446608774
sgCD4_sgGuide1__CREB3L3_104	0.0241129492484757	sgCD4_sgGuide1	CREB3L3_104	0.094496693000783	1.02458338976208	0.135958752131994	non_significant	1.02458338976208
sgCD4_sgGuide1__CREB3L4_126	0.0241129492484757	sgCD4_sgGuide1	CREB3L4_126	0.094496693000783	1.02458338976208	0.135958752131994	non_significant	1.02458338976208
sgCD4_sgGuide1__CREB5_127	0.0580037547447666	sgCD4_sgGuide1	CREB5_127	0.16765204859783	0.775591135409646	0.085868684813075	non_significant	0.775591135409646
sgCD4_sgGuide1__CREM_108	0.051936650188136	sgCD4_sgGuide1	CREM_108	0.157438626005848	0.802888709059343	0.132844623010751	non_significant	0.802888709059343
sgCD4_sgGuide1__CRX_410	0.195779751921523	sgCD4_sgGuide1	CRX_410	0.339975942852929	0.468551813122061	-0.0209516298286173	non_significant	-0.468551813122061
sgCD4_sgGuide1__CSDA_828	0.146578852321965	sgCD4_sgGuide1	CSDA_828	0.28741071004498	0.541497052392567	0.075139937129308	non_significant	0.541497052392567
sgCD4_sgGuide1__CT4768282_585	0.0117129636438988	sgCD4_sgGuide1	CT4768282_585	0.0625066785046973	1.20407357813138	0.119301016469887	non_significant	1.20407357813138
sgCD4_sgGuide1__CTCF_177	0.00759903835296748	sgCD4_sgGuide1	CTCF_177	0.0551590170162487	1.2583834819491	-0.233011290678856	non_significant	-1.2583834819491
sgCD4_sgGuide1__CTCFL_198	0.00357367133343861	sgCD4_sgGuide1	CTCFL_198	0.0380640454845104	1.41948505634769	-0.308240080180343	significant	-1.41948505634769
sgCD4_sgGuide1__CUX1_294	0.316390137562246	sgCD4_sgGuide1	CUX1_294	0.4176925943538	0.379143224662557	-0.00249683460803801	non_significant	-0.379143224662557
sgCD4_sgGuide1__CUX2_292	0.404420646354782	sgCD4_sgGuide1	CUX2_292	0.462955213590342	0.33446102071287	-0.0462235086993924	non_significant	-0.33446102071287
sgCD4_sgGuide1__CXXC1_303	0.291790085388371	sgCD4_sgGuide1	CXXC1_303	0.407475721168351	0.389898262940533	0.057003845488908	non_significant	0.389898262940533
sgCD4_sgGuide1__DBP_110	0.123158144132124	sgCD4_sgGuide1	DBP_110	0.264561939246784	0.57747263469138	-0.068243700432706	non_significant	-0.57747263469138
sgCD4_sgGuide1__DBX2_554	0.205770262820486	sgCD4_sgGuide1	DBX2_554	0.341536757965795	0.466562548431564	-0.0537375678061164	non_significant	-0.466562548431564
sgCD4_sgGuide1__DDIT3_141	0.151340233384966	sgCD4_sgGuide1	DDIT3_141	0.292384628919369	0.534045462599841	0.0263069005982694	non_significant	0.534045462599841
sgCD4_sgGuide1__DLX1_487	0.0160745652170356	sgCD4_sgGuide1	DLX1_487	0.0781164373571454	1.10725757172589	-0.095984725276907	non_significant	-1.10725757172589
sgCD4_sgGuide1__DLX2_438	0.177011968079548	sgCD4_sgGuide1	DLX2_438	0.322176594621772	0.491906013252083	-0.016028073035758	non_significant	-0.491906013252083
sgCD4_sgGuide1__DLX3_403	0.252132723650171	sgCD4_sgGuide1	DLX3_403	0.386260665772994	0.413119515276097	-0.0249703703518791	non_significant	-0.413119515276097
sgCD4_sgGuide1__DLX4_429	0.252132723650171	sgCD4_sgGuide1	DLX4_429	0.386260665772994	0.413119515276097	-0.0249703703518791	non_significant	-0.413119515276097
sgCD4_sgGuide1__DLX5_412	0.0427714100003381	sgCD4_sgGuide1	DLX5_412	0.137310430628392	0.862296470831037	-0.0757446409219806	non_significant	-0.862296470831037
sgCD4_sgGuide1__DLX6_397	0.0685256008220066	sgCD4_sgGuide1	DLX6_397	0.185984606283288	0.730523000313739	-0.085162096275652	non_significant	-0.730523000313739
sgCD4_sgGuide1__DMBX1_560	0.259324108876619	sgCD4_sgGuide1	DMBX1_560	0.386446359532465	0.412910779561335	-0.00636169260046401	non_significant	-0.412910779561335
sgCD4_sgGuide1__DMRT1_305	0.0659958485599178	sgCD4_sgGuide1	DMRT1_305	0.181124253145516	0.742023392303102	-0.0937890579267849	non_significant	-0.742023392303102
sgCD4_sgGuide1__DMRT2_307	0.0391768344018865	sgCD4_sgGuide1	DMRT2_307	0.129980580793551	0.886121526802163	0.133763224665436	non_significant	0.886121526802163
sgCD4_sgGuide1__DMRT3_304	0.0943253856147377	sgCD4_sgGuide1	DMRT3_304	0.224830371191293	0.648145022507517	0.0996651730510103	non_significant	0.648145022507517
sgCD4_sgGuide1__DMRTA2_306	0.327677461387841	sgCD4_sgGuide1	DMRTA2_306	0.422339839122106	0.374337949844739	-0.0232490711153653	non_significant	-0.374337949844739
sgCD4_sgGuide1__DMRTC2_852	0.0895970995446316	sgCD4_sgGuide1	DMRTC2_852	0.217625207786792	0.662290801213548	0.0781441381697818	non_significant	0.662290801213548
sgCD4_sgGuide1__DNMT1_301	0.179901765749497	sgCD4_sgGuide1	DNMT1_301	0.325394046158134	0.487590397755411	0.026913626159065	non_significant	0.487590397755411
sgCD4_sgGuide1__DPRX_565	0.429411752881662	sgCD4_sgGuide1	DPRX_565	0.47038739025652	0.327544328971487	0.0018382188158494	non_significant	0.327544328971487
sgCD4_sgGuide1__DRGX_516	0.498809023363089	sgCD4_sgGuide1	DRGX_516	0.499328721578861	0.301613452441866	-0.0117209833387322	non_significant	-0.301613452441866
sgCD4_sgGuide1__DUX4_603	0.0117129636438988	sgCD4_sgGuide1	DUX4_603	0.0625066785046973	1.20407357813138	0.119301016469887	non_significant	1.20407357813138
sgCD4_sgGuide1__DUX4L2_580	0.0117129636438988	sgCD4_sgGuide1	DUX4L2_580	0.0625066785046973	1.20407357813138	0.119301016469887	non_significant	1.20407357813138
sgCD4_sgGuide1__DUX4L3_581	0.0117129636438988	sgCD4_sgGuide1	DUX4L3_581	0.0625066785046973	1.20407357813138	0.119301016469887	non_significant	1.20407357813138
sgCD4_sgGuide1__DUX4L5_578	0.0117129636438988	sgCD4_sgGuide1	DUX4L5_578	0.0625066785046973	1.20407357813138	0.119301016469887	non_significant	1.20407357813138
sgCD4_sgGuide1__DUX4L6_582	0.0117129636438988	sgCD4_sgGuide1	DUX4L6_582	0.0625066785046973	1.20407357813138	0.119301016469887	non_significant	1.20407357813138
sgCD4_sgGuide1__DUXA_564	0.01178286813192	sgCD4_sgGuide1	DUXA_564	0.0625066785046973	1.20407357813138	0.19587517527157	non_significant	1.20407357813138
sgCD4_sgGuide1__E2F1_312	0.293207822674154	sgCD4_sgGuide1	E2F1_312	0.408405289542479	0.388908641697189	0.00696579251486401	non_significant	0.388908641697189
sgCD4_sgGuide1__E2F2_311	0.0456932885859236	sgCD4_sgGuide1	E2F2_311	0.1429969822653	0.844673127565405	0.152151735123104	non_significant	0.844673127565405
sgCD4_sgGuide1__E2F3_313	0.493958722272658	sgCD4_sgGuide1	E2F3_313	0.496659430489653	0.303941313799953	0.047969132132142	non_significant	0.303941313799953
sgCD4_sgGuide1__E2F4_318	0.000376413403318208	sgCD4_sgGuide1	E2F4_318	0.00907008778235817	2.04238850971948	0.172968756267201	non_significant	2.04238850971948
sgCD4_sgGuide1__E2F5_315	0.124245176477916	sgCD4_sgGuide1	E2F5_315	0.26558551237294	0.575795619319441	0.130503135544938	non_significant	0.575795619319441
sgCD4_sgGuide1__E2F6_317	0.0188465438985402	sgCD4_sgGuide1	E2F6_317	0.0849559232732124	1.07080633598044	0.104314992956037	non_significant	1.07080633598044
sgCD4_sgGuide1__E2F7_316	0.0305640196003802	sgCD4_sgGuide1	E2F7_316	0.112197033976079	0.950018623871731	0.165942785827526	non_significant	0.950018623871731
sgCD4_sgGuide1__E2F8_314	0.00534650371701901	sgCD4_sgGuide1	E2F8_314	0.0447255599404475	1.34944421358844	0.160726220399925	non_significant	1.34944421358844
sgCD4_sgGuide1__E4F1_234	0.0375228063357485	sgCD4_sgGuide1	E4F1_234	0.127149482569288	0.895685402832043	0.087001890142655	non_significant	0.895685402832043
sgCD4_sgGuide1__EBF1_67	0.133463625056349	sgCD4_sgGuide1	EBF1_67	0.275803690734023	0.559399926504274	-0.095762760654833	non_significant	-0.559399926504274
sgCD4_sgGuide1__EGR1_195	0.0893864430423033	sgCD4_sgGuide1	EGR1_195	0.217625207786792	0.662290801213548	0.063708679928793	non_significant	0.662290801213548
sgCD4_sgGuide1__EGR2_196	0.411501833586769	sgCD4_sgGuide1	EGR2_196	0.467371534230404	0.330337742314198	0.00412272769939198	non_significant	0.330337742314198
sgCD4_sgGuide1__EGR3_259	0.246963232855755	sgCD4_sgGuide1	EGR3_259	0.383675022472334	0.416036472773335	0.062824759812011	non_significant	0.416036472773335
sgCD4_sgGuide1__EGR4_207	0.410488410955155	sgCD4_sgGuide1	EGR4_207	0.466829957556843	0.330841282052191	0.044447826777238	non_significant	0.330841282052191
sgCD4_sgGuide1__EHF_333	0.290524297498547	sgCD4_sgGuide1	EHF_333	0.40636035180665	0.391088672356968	0.00672492367313604	non_significant	0.391088672356968
sgCD4_sgGuide1__ELF1_329	0.241478382146755	sgCD4_sgGuide1	ELF1_329	0.378586761063418	0.421834577106593	0.076137510716804	non_significant	0.421834577106593
sgCD4_sgGuide1__ELF2_326	0.372479468044351	sgCD4_sgGuide1	ELF2_326	0.446975361653221	0.349716415554768	0.0979853461111019	non_significant	0.349716415554768
sgCD4_sgGuide1__ELF3_342	0.328187252335901	sgCD4_sgGuide1	ELF3_342	0.422371167947092	0.374305735428902	0.010631380288043	non_significant	0.374305735428902
sgCD4_sgGuide1__ELF4_323	0.338369807518435	sgCD4_sgGuide1	ELF4_323	0.43101278556521	0.365509846734721	-0.013260596528774	non_significant	-0.365509846734721
