T0-ATAC-rep1.proatac	T0-ATAC-rep2.proatac	T0-ATAC-rep3.proatac	T24H-ATAC-rep1.proatac	T24H-ATAC-rep2.proatac	T24H-ATAC-rep3.proatac
29	24	39	45	29	38
35	32	116	41	23	37
34	48	192	85	40	61
22	19	58	34	27	35
31	25	75	46	31	34
6	1	21	6	8	5
17	19	35	44	48	64
10	10	14	54	32	58
4	13	23	31	22	45
12	16	87	70	29	97
10	14	18	46	32	39
11	19	20	29	17	26
24	32	92	50	33	58
10	6	8	15	18	28
12	15	34	21	21	24
26	26	47	42	22	45
27	30	78	31	29	47
6	18	39	12	11	20
27	32	53	45	19	39
33	19	109	25	9	22
14	18	43	12	15	18
31	32	180	38	24	45
54	52	165	64	26	72
12	10	22	13	17	18
5	10	9	25	17	45
34	43	134	53	25	39
9	16	36	29	14	39
44	46	153	52	33	64
41	35	116	68	41	74
19	21	43	16	15	17
17	23	23	29	19	24
26	25	87	37	21	29
44	48	137	59	26	58
23	39	48	29	14	19
14	26	39	27	18	30
15	25	28	22	14	19
13	11	26	19	15	18
27	46	166	57	37	63
32	32	90	60	25	54
63	64	141	74	25	52
4	10	15	25	22	34
28	22	65	56	28	42
14	17	34	95	46	86
34	33	110	56	31	46
7	12	27	10	10	14
15	16	55	13	18	37
23	14	36	29	18	20
22	30	34	28	15	34
16	14	44	15	12	16
17	27	42	15	14	20
14	18	45	20	16	20
24	20	46	22	15	23
62	51	140	78	45	66
30	31	70	33	32	35
19	28	77	32	21	22
34	27	74	54	28	42
15	17	34	20	13	16
45	42	133	55	35	47
35	51	229	72	36	66
32	37	114	65	37	45
14	15	39	33	18	26
29	29	95	42	20	46
29	23	76	27	23	25
24	36	51	58	13	37
11	5	25	32	14	31
30	39	28	22	20	28
58	66	105	137	74	97
23	35	50	40	42	56
62	72	121	89	53	79
3	15	15	28	18	33
36	37	30	24	17	35
20	29	33	26	23	34
21	14	42	21	16	28
20	19	44	50	17	37
30	28	106	45	26	45
84	49	295	115	42	112
102	52	182	135	37	88
20	21	37	40	17	27
36	41	107	56	35	42
52	38	162	60	36	62
3	8	23	30	7	17
15	18	33	26	12	15
27	21	36	53	19	29
31	35	80	40	21	44
13	12	16	14	7	23
16	16	27	13	12	16
13	17	38	26	16	17
43	36	166	60	44	73
27	25	78	78	35	64
29	16	57	27	17	28
44	33	110	34	12	26
60	44	170	77	34	54
10	10	28	11	8	7
15	9	24	39	32	40
25	31	68	17	22	26
5	13	22	7	6	13
52	45	158	68	35	56
11	19	38	19	21	20
38	37	96	59	36	43
17	11	12	21	8	13
39	30	58	66	19	40
17	19	45	24	18	24
24	19	68	14	14	22
20	36	71	15	14	20
13	24	63	17	11	24
26	15	39	22	19	32
14	18	47	13	11	18
65	62	171	96	56	58
15	22	32	18	11	22
36	42	154	80	41	67
48	40	136	44	16	44
6	8	25	9	6	10
40	35	60	38	25	32
18	29	44	33	19	23
5	10	38	21	10	19
17	20	38	15	20	21
8	11	23	13	7	13
17	15	41	26	13	25
24	21	40	35	25	24
41	29	140	59	35	59
12	14	27	18	10	22
18	19	26	30	26	30
23	16	36	19	21	39
15	10	22	12	13	15
11	8	34	10	7	14
9	10	23	30	15	39
6	10	19	19	12	31
16	18	27	20	8	28
29	24	70	28	21	42
19	24	66	37	19	29
14	15	50	15	6	16
17	9	33	17	12	20
52	53	185	93	46	86
32	23	52	25	16	23
21	19	27	27	17	16
28	26	62	35	30	41
58	41	132	75	28	58
5	6	15	48	16	33
7	6	32	20	12	26
33	34	127	58	38	48
16	11	26	15	14	24
8	17	27	12	14	18
16	15	32	21	20	23
22	24	40	25	10	31
19	23	59	60	30	70
30	24	75	67	38	62
56	45	157	122	51	111
10	20	36	74	36	57
21	22	97	31	19	38
43	39	86	74	35	53
21	22	72	42	27	49
6	10	6	25	20	22
22	23	53	23	11	19
9	8	23	47	24	37
47	41	129	65	37	56
33	19	53	28	12	29
11	18	60	16	11	17
18	14	28	22	15	18
22	13	75	33	35	36
31	29	133	23	22	29
31	36	165	36	30	43
40	41	144	51	29	65
14	24	29	19	10	14
57	43	251	41	31	40
10	7	16	26	13	32
42	55	148	64	28	48
23	31	66	25	6	29
11	13	44	27	20	22
15	15	38	8	15	25
11	22	30	16	8	18
45	41	167	58	35	53
13	13	31	21	10	27
11	11	22	15	12	20
28	32	63	48	19	45
11	12	38	10	5	13
1	9	30	10	6	21
23	27	49	28	16	28
14	18	28	19	12	21
51	37	156	76	47	74
60	50	214	113	42	88
16	14	34	33	21	19
25	29	51	20	18	30
30	41	132	49	34	61
14	24	41	22	18	20
28	11	68	38	18	28
25	24	73	30	16	39
48	52	126	75	29	61
18	28	65	16	18	27
27	18	72	36	22	30
8	6	25	20	26	28
16	14	35	12	18	14
42	38	113	56	15	51
5	15	12	26	21	28
11	9	44	15	9	20
17	17	46	28	19	24
24	33	110	44	29	49
34	37	85	59	32	50
9	13	39	24	19	24
30	33	88	34	20	39
24	29	59	38	18	35
21	12	52	28	22	30
47	41	93	52	34	54
17	14	45	15	18	18
17	10	36	18	16	22
19	25	58	24	21	33
20	13	59	17	14	19
37	31	137	58	23	50
13	21	40	14	13	19
38	49	194	73	45	59
42	48	151	74	29	80
44	43	144	71	43	71
12	16	37	19	16	19
16	25	49	22	21	29
15	21	29	37	22	33
20	23	40	23	18	28
21	25	41	16	14	28
10	10	38	19	14	19
20	12	42	41	29	38
50	48	193	69	37	73
18	18	59	16	14	23
8	15	24	14	11	13
4	12	20	5	7	8
12	10	49	31	17	31
19	25	41	16	17	27
14	12	55	18	11	14
7	9	20	53	30	48
61	55	158	81	38	68
36	21	102	7	21	28
8	12	25	4	12	18
27	27	76	31	13	33
35	36	84	31	18	28
10	7	25	35	11	21
18	19	31	20	16	19
18	24	53	22	13	22
10	11	37	12	10	14
74	65	314	92	51	86
60	62	216	90	56	77
26	26	62	41	25	44
23	20	64	33	11	26
40	30	76	47	21	63
48	57	145	89	29	63
16	9	27	63	26	59
31	15	98	63	21	61
57	49	157	98	49	79
28	20	39	53	40	59
23	18	106	38	23	40
42	37	136	53	28	41
34	46	137	79	47	73
39	40	149	55	37	64
5	9	60	14	3	17
31	31	84	49	25	48
60	56	243	86	40	79
12	7	41	19	16	33
17	25	31	15	13	22
10	11	18	8	13	19
30	28	35	59	16	36
23	38	77	36	33	69
36	31	80	23	20	24
13	9	48	21	19	28
41	26	104	28	20	34
15	30	72	62	25	70
11	15	26	22	14	16
11	7	29	21	13	8
28	28	42	17	16	23
44	65	185	43	41	63
25	33	71	37	27	33
47	56	123	69	37	50
35	46	108	46	25	44
23	33	80	38	29	41
18	18	39	40	25	25
21	21	62	28	22	23
23	18	73	16	15	16
33	39	77	47	21	29
18	23	39	26	16	21
6	20	35	8	24	29
22	18	44	21	12	28
41	47	211	67	43	84
22	18	27	10	12	4
31	38	96	49	20	54
36	27	72	37	32	39
64	43	125	66	29	46
34	34	42	32	23	24
17	29	111	22	16	32
9	12	23	24	12	16
25	22	62	36	30	23
18	15	24	27	9	20
19	25	28	11	12	20
41	48	204	111	44	82
33	22	48	65	33	75
45	38	65	56	34	63
43	46	139	77	28	68
27	34	66	22	13	25
25	20	158	66	33	58
32	26	68	36	15	56
26	21	76	50	19	45
39	26	66	43	29	48
19	15	74	21	17	23
