HTO	GS_zscore	ADT_zscore	Gene
sgCD3E_sgGuide2	0.231486369289785	-1.75040100289349	CD3E
sgCD3ECD4_sgGuide1	0.134369752613093	-1.73529603681039	CD3E
sgCD4_sgGuide1	-0.0336329440847389	0.0370814485238322	CD3E
sgCD4_sgGuide2	-0.0625449147568559	-0.00568550450903146	CD3E
sgNFKB2_sgGuide1	-0.0851687931189783	-0.0907924411827	CD3E
sgNFKB2_sgGuide2	0.0251516013797338	-0.184566833355383	CD3E
sgZAP70_sgGuide1	-0.00897067408637094	1.12677174488459	CD3E
sgZAP70_sgGuide2	0.072107006106473	1.66812813255932	CD3E
sgCD3E_sgGuide2	0.155377510739306	1.05906392864812	CD4
sgCD3ECD4_sgGuide1	0.112064516887621	-1.66191659539181	CD4
sgCD4_sgGuide1	-0.0242764432003568	-1.75050085982665	CD4
sgCD4_sgGuide2	-0.099696725088802	-2.53450591330525	CD4
sgNFKB2_sgGuide1	0.0700121826879047	-0.209451321303808	CD4
sgNFKB2_sgGuide2	0.0497838602908631	-0.387039557456453	CD4
sgZAP70_sgGuide1	0.0324341029698708	0.38959968591541	CD4
sgZAP70_sgGuide2	0.0739409188544657	0.592744176281847	CD4
sgCD3E_sgGuide2	-0.0290908957194146	0.0345911869332776	CD8A
sgCD3ECD4_sgGuide1	-0.0205802095491167	0.0424434090269523	CD8A
sgCD4_sgGuide1	-0.0321152782922635	0.0271842571099396	CD8A
sgCD4_sgGuide2	-0.0393017264997183	0.0249293215650281	CD8A
sgNFKB2_sgGuide1	-0.043627243743378	0.0973874462791082	CD8A
sgNFKB2_sgGuide2	0.118115207534072	0.0543172987311621	CD8A
sgZAP70_sgGuide1	-0.0285674867912157	0.0331575807981949	CD8A
sgZAP70_sgGuide2	-0.00711211630746072	0.0589718875631111	CD8A
sgCD3E_sgGuide2	-0.511021592717197	-1.19651300515696	PDCD1
sgCD3ECD4_sgGuide1	-0.434848654075016	-1.17531960458856	PDCD1
sgCD4_sgGuide1	-0.00372612414567302	0.0701238363000294	PDCD1
sgCD4_sgGuide2	-0.0614327989358011	-0.0880548839816044	PDCD1
