HTO	GS_zscore	ADT_zscore	Gene
sgNFKB2_sgGuide1	0.034437707942256	-0.0883643859122894	PDCD1
sgNFKB2_sgGuide2	-0.1245262087489	-0.108259475368218	PDCD1
sgZAP70_sgGuide1	-0.301719847446408	-0.703973022330132	PDCD1
sgZAP70_sgGuide2	-0.404001471824766	-0.942659502795499	PDCD1
sgCD3E_sgGuide2	-0.0325991359500961	0.569114788714916	IL7R
sgCD3ECD4_sgGuide1	0.069355713290429	0.707845487628309	IL7R
sgCD4_sgGuide1	0.030021088239002	0.0398296877063486	IL7R
sgCD4_sgGuide2	-0.0158079286142383	-0.0786183012653205	IL7R
sgNFKB2_sgGuide1	-0.028851426562536	0.141302794971884	IL7R
sgNFKB2_sgGuide2	-0.154452653456983	-0.0583415493686133	IL7R
sgZAP70_sgGuide1	-0.0271351490220749	0.106085075532545	IL7R
sgZAP70_sgGuide2	-0.108399929898492	0.451614911938889	IL7R
sgCD3E_sgGuide2	0.00586898788010977	0.723923065638929	FAS
sgCD3ECD4_sgGuide1	0.0260544724283882	0.558668897428785	FAS
sgCD4_sgGuide1	0.0749289904176273	0.0339265299902264	FAS
sgCD4_sgGuide2	0.0564950679462636	-0.0916114710100121	FAS
sgNFKB2_sgGuide1	0.0559630599905042	-0.0186420340152363	FAS
sgNFKB2_sgGuide2	0.00385036123027369	-0.0911519595186361	FAS
sgZAP70_sgGuide1	-0.00332565808208731	0.318826995311123	FAS
sgZAP70_sgGuide2	-0.0587086896576922	0.454113750561715	FAS
sgCD3E_sgGuide2	0.0688019618790249	1.18089298926076	CCR7
sgCD3ECD4_sgGuide1	0.0458511940189394	0.918993411661294	CCR7
sgCD4_sgGuide1	-0.0317593546658212	0.0212124500538489	CCR7
sgCD4_sgGuide2	-0.0591742874411941	0.0473352088303679	CCR7
sgNFKB2_sgGuide1	0.0559210081688222	0.189531227594519	CCR7
sgNFKB2_sgGuide2	-0.0205747902915578	0.0428142130075042	CCR7
sgZAP70_sgGuide1	-0.0413467551720187	0.282670861375318	CCR7
sgZAP70_sgGuide2	-0.0128403381390898	0.672575076784322	CCR7
sgCD3E_sgGuide2	-0.0613907031652198	0.150056833434103	PECAM1
sgCD3ECD4_sgGuide1	-0.0267830699233485	0.19923335883632	PECAM1
sgCD4_sgGuide1	0.0783549589496596	-0.0328888993149559	PECAM1
sgCD4_sgGuide2	-0.102960944298548	-0.0531180059493739	PECAM1
sgNFKB2_sgGuide1	0.0176293267407778	-0.183731909625348	PECAM1
sgNFKB2_sgGuide2	0.0366881507735686	-0.213167111424828	PECAM1
sgZAP70_sgGuide1	-0.0234194550486079	0.00887461201917015	PECAM1
sgZAP70_sgGuide2	-0.0539013860361327	0.124140611504112	PECAM1
sgCD3E_sgGuide2	-0.286547203371978	-0.957491083009182	IL2RA
sgCD3ECD4_sgGuide1	-0.348148934001874	-1.11738911782113	IL2RA
sgCD4_sgGuide1	0.0602562949180609	-0.083438623297075	IL2RA
sgCD4_sgGuide2	-0.0496523299700646	0.0181971348314805	IL2RA
sgNFKB2_sgGuide1	-0.0142319450827969	-0.314229309705708	IL2RA
sgNFKB2_sgGuide2	-0.170584705105667	-0.495392574663605	IL2RA
sgZAP70_sgGuide1	-0.231910454243519	-0.686069535479423	IL2RA
sgZAP70_sgGuide2	-0.345759107000321	-0.807754217892949	IL2RA
sgCD3E_sgGuide2	0.283731975375417	-0.711804743055343	CD69
sgCD3ECD4_sgGuide1	0.24530383613338	-0.899972570620616	CD69
sgCD4_sgGuide1	-0.0800940172138788	-0.0184715520718105	CD69
sgCD4_sgGuide2	-0.125147500344986	0.0481457139973371	CD69
sgNFKB2_sgGuide1	0.00647273168737785	-0.118791105546694	CD69
sgNFKB2_sgGuide2	-0.217773420552619	-0.187239282902761	CD69
sgZAP70_sgGuide1	0.190509700518408	-0.505459056571926	CD69
sgZAP70_sgGuide2	0.260709572457372	-0.447692513085723	CD69
sgCD3E_sgGuide2	-0.0493893141815608	0.719008743078702	CD27
sgCD3ECD4_sgGuide1	-0.031509487911234	0.333243522889909	CD27
sgCD4_sgGuide1	0.0712545693411468	-0.1064859145208	CD27
sgCD4_sgGuide2	0.008378125262864	0.024209431706152	CD27
sgNFKB2_sgGuide1	-0.0763960066408619	-0.204013844835489	CD27
sgNFKB2_sgGuide2	0.000325264004730542	-0.329120119311399	CD27
sgZAP70_sgGuide1	-0.0017849032531717	0.219744051071038	CD27
sgZAP70_sgGuide2	-0.0574011114383544	0.575802702052917	CD27
sgCD3E_sgGuide2	-0.107380252692122	-0.0284634916551532	ICOS
sgCD3ECD4_sgGuide1	-0.146588882026555	-0.101233526963985	ICOS
sgCD4_sgGuide1	-0.0562119678251332	-0.0101719519885381	ICOS
sgCD4_sgGuide2	-0.0126411492600363	-0.0731080908605276	ICOS
sgNFKB2_sgGuide1	-0.103783456971603	-0.0617296867943159	ICOS
sgNFKB2_sgGuide2	-0.227892201130588	-0.104444869623693	ICOS
sgZAP70_sgGuide1	0.0928635501294103	-0.0719032511022801	ICOS
sgZAP70_sgGuide2	-0.193435409805955	-0.189171684734521	ICOS
sgCD3E_sgGuide2	-0.0696697623655825	0.0174674853313843	CD7
sgCD3ECD4_sgGuide1	-0.155359540830557	0.0487926841869594	CD7
sgCD4_sgGuide1	-0.0206696581898825	0.12175461914114	CD7
sgCD4_sgGuide2	-0.0335363146720259	0.134112475562215	CD7
sgNFKB2_sgGuide1	-0.0244035238516793	0.0532525254858973	CD7
sgNFKB2_sgGuide2	0.0276325191576416	-0.117043349356029	CD7
sgZAP70_sgGuide1	-0.11887521304839	0.104278178211059	CD7
sgZAP70_sgGuide2	-0.104034174628911	0.20777142587044	CD7
sgCD3E_sgGuide2	-0.32974793439149	-1.18005137251669	TNFRSF4
sgCD3ECD4_sgGuide1	-0.345717311606194	-1.08846471448376	TNFRSF4
sgCD4_sgGuide1	-0.01800823112785	0.0236718590267359	TNFRSF4
sgCD4_sgGuide2	-0.00898747740618372	-0.0226563678037696	TNFRSF4
sgNFKB2_sgGuide1	0.0052461886715891	0.138508859318909	TNFRSF4
sgNFKB2_sgGuide2	0.0106966721426307	0.00388815839347952	TNFRSF4
sgZAP70_sgGuide1	-0.222047904831473	-0.559868065897477	TNFRSF4
sgZAP70_sgGuide2	-0.24110391499767	-0.719185468041234	TNFRSF4
sgCD3E_sgGuide2	0.101166953842794	0.51809652369902	SELL
sgCD3ECD4_sgGuide1	0.0763716641926457	0.569486665069856	SELL
sgCD4_sgGuide1	0.00994476174185394	0.0238376704514946	SELL
sgCD4_sgGuide2	-0.0252698758989872	-0.0726143808922739	SELL
sgNFKB2_sgGuide1	-0.058828277679014	-0.0434526527700968	SELL
sgNFKB2_sgGuide2	-0.0352677638241422	-0.0621701166888323	SELL
sgZAP70_sgGuide1	0.00674800302149037	0.226969991896917	SELL
sgZAP70_sgGuide2	0.0572801683325566	0.133826601644199	SELL
sgCD3E_sgGuide2	-0.0533346255515206	-0.224529867452804	ENTPD1
sgCD3ECD4_sgGuide1	0.0630786275510997	-0.0277353087853921	ENTPD1
sgCD4_sgGuide1	0.0231650947416556	-0.00557256082427921	ENTPD1
sgCD4_sgGuide2	-0.0306936743624547	-0.192081894654388	ENTPD1
sgNFKB2_sgGuide1	0.0321752079288616	-0.27650531256261	ENTPD1
sgNFKB2_sgGuide2	0.0646477822696604	-0.196707809531722	ENTPD1
sgZAP70_sgGuide1	0.0347095487798082	-0.131590443999131	ENTPD1
sgZAP70_sgGuide2	-0.0386225162930388	-0.24780075584517	ENTPD1
sgCD3E_sgGuide2	-0.416219806672655	-0.743387301270026	TNFRSF9
sgCD3ECD4_sgGuide1	-0.479344823864622	-0.695955236534775	TNFRSF9
sgCD4_sgGuide1	-0.101916762766542	-0.0222461503460286	TNFRSF9
sgCD4_sgGuide2	-0.03973209968054	0.0395355968799424	TNFRSF9
sgNFKB2_sgGuide1	0.0172878297753075	0.0423940637233125	TNFRSF9
sgNFKB2_sgGuide2	-0.00336184105406308	-0.106120775871333	TNFRSF9
sgZAP70_sgGuide1	-0.336775343948999	-0.512816351262811	TNFRSF9
sgZAP70_sgGuide2	-0.361181307309259	-0.599115523387412	TNFRSF9
sgCD3E_sgGuide2	-0.394118175569794	-0.830431761592556	TNFRSF18
sgCD3ECD4_sgGuide1	-0.390417799339692	-0.835093056868991	TNFRSF18
sgCD4_sgGuide1	-0.0237509673690821	0.100203395036222	TNFRSF18
sgCD4_sgGuide2	0.0113193437319098	0.0782127948112785	TNFRSF18
sgNFKB2_sgGuide1	-0.059845231867705	0.375088340466391	TNFRSF18
sgNFKB2_sgGuide2	0.0307843132379964	0.179046385144504	TNFRSF18
sgZAP70_sgGuide1	-0.261460035886112	-0.455505257530449	TNFRSF18
sgZAP70_sgGuide2	-0.257229519489565	-0.490909338523742	TNFRSF18
sgCD3E_sgGuide2	-0.26595959485387	-0.140105988517536	CD28
sgCD3ECD4_sgGuide1	-0.180402934622292	-0.0475757726598286	CD28
sgCD4_sgGuide1	-0.0731029179880826	-0.0225120178819923	CD28
sgCD4_sgGuide2	-0.104772603267939	-0.0731773795702295	CD28
sgNFKB2_sgGuide1	-0.0341100129856192	-0.1040469323781	CD28
sgNFKB2_sgGuide2	-0.211425308425068	-0.149944830224831	CD28
sgZAP70_sgGuide1	-0.268588797670245	-0.036542952987075	CD28
sgZAP70_sgGuide2	-0.433348880296108	-0.151476532269581	CD28
sgCD3E_sgGuide2	-0.134837384930583	0.811201458828304	CD38
sgCD3ECD4_sgGuide1	0.0116139242660743	0.820492302540251	CD38
sgCD4_sgGuide1	-0.0325767010248306	-0.0544865439965046	CD38
sgCD4_sgGuide2	-0.0522196687713316	-0.172861584987864	CD38
sgNFKB2_sgGuide1	-0.142040842934498	-0.172098192797231	CD38
sgNFKB2_sgGuide2	-0.102787882469254	-0.315736145473667	CD38
sgZAP70_sgGuide1	-0.0060469632400719	0.456783511559856	CD38
sgZAP70_sgGuide2	-0.116067880021368	0.459416928625814	CD38
sgCD3E_sgGuide2	0.38715844745777	0.392395442969917	PTPRC
sgCD3ECD4_sgGuide1	0.338711115519304	0.310825432920083	PTPRC
sgCD4_sgGuide1	0.0178500821343881	0.107738076225373	PTPRC
sgCD4_sgGuide2	-0.0373389997949095	-0.0581913536535733	PTPRC
sgNFKB2_sgGuide1	-0.072762787907868	0.139482480898121	PTPRC
sgNFKB2_sgGuide2	-0.0310034563768396	0.0737507599480848	PTPRC
sgZAP70_sgGuide1	0.214733976984188	0.210887123470608	PTPRC
sgZAP70_sgGuide2	0.31480958379897	0.294107657211637	PTPRC
sgCD3E_sgGuide2	-0.310585609594639	-0.618703654093241	HAVCR2
sgCD3ECD4_sgGuide1	-0.257796726090459	-0.697288850570563	HAVCR2
sgCD4_sgGuide1	0.0443838256443155	0.135326379393195	HAVCR2
sgCD4_sgGuide2	-0.0312307697691277	0.119699103618848	HAVCR2
sgNFKB2_sgGuide1	0.0366284596945508	0.0931850156883492	HAVCR2
sgNFKB2_sgGuide2	0.0463441929864171	0.0335814049112262	HAVCR2
sgZAP70_sgGuide1	-0.21938084268841	-0.30886181135507	HAVCR2
sgZAP70_sgGuide2	-0.265849338011172	-0.485470179593581	HAVCR2
